restaurant_name,rating,num_ratings,avg_cost,online_order,table_booking,cuisines,area
55 Wall Street,3.9,1763,1300.0,0,1,"['Finger Food', 'North Indian', 'Chinese']",Bannerghatta Road
56 Bhoga Sweets,3.6,51,150.0,0,0,"['Mithai', 'Street Food']",HSR
5th Main Cafe,3.5,15,250.0,0,0,"['Cafe', 'Fast Food']","Byresandra,Tavarekere,Madiwala"
7 Days Restaurant,3.8,478,400.0,1,0,"['North Indian', 'Chinese', 'Arabian']",Electronic City
7 Degrees North,3.5,11,500.0,0,0,['North Indian'],HSR
7 Hills Andhra Mess,3.4,8,300.0,0,0,['Andhra'],Indiranagar
7 Plates,3.5,531,600.0,1,0,"['North Indian', 'Mughlai', 'Rolls', 'Fast Food']",Kammanahalli
7 Shanghai,3.5,18,250.0,1,0,['Chinese'],Electronic City
7 Spice,3.4,5,250.0,0,0,"['Biryani', 'Chinese']",Kalyan Nagar
7 to 11 Food Court,3.7,16,200.0,1,0,"['Fast Food', 'Burger', 'North Indian', 'South Indian']",Frazer Town
70 Brigade - Iris Hotel,3.9,105,1000.0,0,1,"['Chinese', 'North Indian', 'Pizza']",Brigade Road
7Biryanis,3.2,4,600.0,1,0,"['Andhra', 'Biryani']",Kalyan Nagar
7th Heaven,3.6,17,300.0,0,0,"['Bakery', 'Desserts']",New BEL Road
8 Slice,3.7,74,600.0,1,0,['Pizza'],Brigade Road
9 Bowls,2.8,40,500.0,1,0,"['Healthy Food', 'Continental', 'North Indian', 'Chinese']",HSR
90's,2.8,40,200.0,0,0,['North Indian'],HSR
90's Beer Cafe - Hotel Millennium Plaza,3.0,7,1000.0,0,0,['Finger Food'],Electronic City
90's Cafe,2.8,40,500.0,0,0,"['Fast Food', 'Burger']",Jayanagar
99 Caffe,3.6,106,250.0,1,0,"['South Indian', 'North Indian', 'Chinese']",Brookefield
99 Pancakes,4.1,41,150.0,1,0,"['Desserts', 'Ice Cream']",Brigade Road
99 Variety Dosa & Pav Bhaji,3.8,16,250.0,1,0,"['South Indian', 'North Indian', 'Street Food']",Koramangala 5th Block
99 Variety Dosa and Pav Bhaji,4.0,101,250.0,1,0,"['South Indian', 'North Indian', 'Street Food']","Byresandra,Tavarekere,Madiwala"
99 Variety Dose-Biryanis-Starters,2.8,40,300.0,1,0,"['South Indian', 'North Indian', 'Fast Food', 'Chinese']",HSR
99Foods,3.4,32,400.0,0,0,"['Biryani', 'North Indian', 'Chinese', 'Kebab']",Marathahalli
9D Foods,4.0,458,400.0,1,0,"['North Indian', 'Street Food']",Brookefield
9th Cross Cafe,3.6,12,550.0,0,0,"['Cafe', 'Italian', 'French']",Indiranagar
A 1 Pizza and Food,2.8,211,300.0,1,0,"['Pizza', 'Chinese', 'North Indian']",Indiranagar
A Bar,3.3,19,600.0,0,0,"['North Indian', 'Continental']","Byresandra,Tavarekere,Madiwala"
A Hole Lotta Love Cafe,4.3,2871,600.0,1,0,"['Cafe', 'American', 'Burger', 'Sandwich', 'Beverages']",Koramangala 4th Block
A Little For Love,3.4,12,350.0,0,0,['Bakery'],Kalyan Nagar
A M Biryani Hotel,3.3,6,300.0,1,0,"['North Indian', 'Chinese', 'Biryani', 'Fast Food']",Bannerghatta Road
A Southern Fair,3.0,19,750.0,1,0,"['Biryani', 'Seafood', 'South Indian']",Whitefield
A Today Thick Shakes,3.2,9,200.0,0,0,['Beverages'],Jayanagar
A.M New Punjab Food Corner,3.5,21,350.0,1,0,"['North Indian', 'Chinese']","Byresandra,Tavarekere,Madiwala"
A1 Ambur Dum Biryani And Parota Centre,3.2,4,300.0,0,0,['Biryani'],Rajajinagar
A1 Biriyani Point,3.0,10,200.0,0,0,['Biryani'],Malleshwaram
A1 Garam Masala,3.6,25,500.0,1,0,"['North Indian', 'Andhra', 'Chinese']",JP Nagar
A1 Hot Dum Biryani,3.2,4,150.0,0,0,['Biryani'],Whitefield
